Stazione,IQA,PM10µg/m³,PM2.5µg/m³,NO2µg/m³,COmg/m³,SO2µg/m³,O3µg/m³,O3*µg/m³,C6H6µg/m³,CO2ppm,Date
Via Sacco Pescara (PE),Scadente,56,--,27,--,--,13,10,--,--,2017-01-23
Via Sacco Pescara (PE),Scadente,66,--,34,--,--,11,10,--,--,2017-01-22
Via Sacco Pescara (PE),Mediocre,37,--,23,--,--,27,25,--,--,2017-01-21
Via Sacco Pescara (PE),Accettabile,27,--,23,--,--,30,29,--,--,2017-01-20
Via Sacco Pescara (PE),Buona,12,--,23,--,--,31,27,--,--,2017-01-19
Via Sacco Pescara (PE),Buona,n.d.,--,11,--,--,34,31,--,--,2017-01-18
Via Sacco Pescara (PE),Mediocre,41,--,27,--,--,28,22,--,--,2017-01-17
Via Sacco Pescara (PE),Accettabile,30,--,49,--,--,34,30,--,--,2017-01-16
Via Sacco Pescara (PE),Buona,19,--,23,--,--,34,30,--,--,2017-01-15
Via Sacco Pescara (PE),Scadente,69,--,51,--,--,43,32,--,--,2017-01-14
Via Sacco Pescara (PE),Mediocre,37,--,43,--,--,30,23,--,--,2017-01-13
Via Sacco Pescara (PE),Mediocre,43,--,33,--,--,17,14,--,--,2017-01-12
Via Sacco Pescara (PE),Mediocre,37,--,27,--,--,26,25,--,--,2017-01-11
Via Sacco Pescara (PE),Accettabile,27,--,42,--,--,31,30,--,--,2017-01-10
Via Sacco Pescara (PE),Buona,n.d.,--,9,--,--,38,36,--,--,2017-01-09
Via Sacco Pescara (PE),Buona,n.d.,--,4,--,--,37,36,--,--,2017-01-08
Via Sacco Pescara (PE),Buona,20,--,26,--,--,32,27,--,--,2017-01-07
Via Sacco Pescara (PE),Mediocre,41,--,37,--,--,31,23,--,--,2017-01-06
Via Sacco Pescara (PE),Buona,14,--,25,--,--,33,30,--,--,2017-01-05
Via Sacco Pescara (PE),Accettabile,29,--,38,--,--,33,26,--,--,2017-01-04
Via Sacco Pescara (PE),Accettabile,28,--,40,--,--,36,27,--,--,2017-01-03
Via Sacco Pescara (PE),Accettabile,28,--,40,--,--,36,27,--,--,2017-01-02
Via Sacco Pescara (PE),Accettabile,28,--,40,--,--,36,27,--,--,2017-01-01
Via Sacco Pescara (PE),Accettabile,28,--,40,--,--,36,27,--,--,2016-12-31
Via Sacco Pescara (PE),Accettabile,28,--,40,--,--,36,27,--,--,2016-12-30
Via Sacco Pescara (PE),Accettabile,28,--,40,--,--,36,27,--,--,2016-12-29
Via Sacco Pescara (PE),Accettabile,28,--,40,--,--,36,27,--,--,2016-12-28
Via Sacco Pescara (PE),Accettabile,28,--,40,--,--,36,27,--,--,2016-12-27
Via Sacco Pescara (PE),Accettabile,28,--,40,--,--,36,27,--,--,2016-12-26
Via Sacco Pescara (PE),Accettabile,28,--,40,--,--,36,27,--,--,2016-12-25
Via Sacco Pescara (PE),Accettabile,28,--,40,--,--,36,27,--,--,2016-12-24
Via Sacco Pescara (PE),Accettabile,28,--,40,--,--,36,27,--,--,2016-12-23
Via Sacco Pescara (PE),Accettabile,28,--,40,--,--,36,27,--,--,2016-12-22
Via Sacco Pescara (PE),Accettabile,28,--,40,--,--,36,27,--,--,2016-12-21
Via Sacco Pescara (PE),Accettabile,28,--,40,--,--,36,27,--,--,2016-12-20
Via Sacco Pescara (PE),Accettabile,28,--,40,--,--,36,27,--,--,2016-12-19
Via Sacco Pescara (PE),Accettabile,28,--,40,--,--,36,27,--,--,2016-12-18
Via Sacco Pescara (PE),Accettabile,28,--,40,--,--,36,27,--,--,2016-12-17
Via Sacco Pescara (PE),Accettabile,28,--,40,--,--,36,27,--,--,2016-12-16
Via Sacco Pescara (PE),Accettabile,28,--,40,--,--,36,27,--,--,2016-12-15
Via Sacco Pescara (PE),Accettabile,28,--,40,--,--,36,27,--,--,2016-12-14
Via Sacco Pescara (PE),Accettabile,28,--,40,--,--,36,27,--,--,2016-12-13
Via Sacco Pescara (PE),Accettabile,28,--,40,--,--,36,27,--,--,2016-12-12
Via Sacco Pescara (PE),Accettabile,28,--,40,--,--,36,27,--,--,2016-12-11
Via Sacco Pescara (PE),Accettabile,28,--,40,--,--,36,27,--,--,2016-12-10
Via Sacco Pescara (PE),Accettabile,28,--,40,--,--,36,27,--,--,2016-12-09
Via Sacco Pescara (PE),Accettabile,28,--,40,--,--,36,27,--,--,2016-12-08
Via Sacco Pescara (PE),Accettabile,28,--,40,--,--,36,27,--,--,2016-12-07
Via Sacco Pescara (PE),Accettabile,28,--,40,--,--,36,27,--,--,2016-12-06
Via Sacco Pescara (PE),Accettabile,28,--,40,--,--,36,27,--,--,2016-12-05
Via Sacco Pescara (PE),Accettabile,28,--,40,--,--,36,27,--,--,2016-12-04
Via Sacco Pescara (PE),Accettabile,28,--,40,--,--,36,27,--,--,2016-12-03
Via Sacco Pescara (PE),Accettabile,28,--,40,--,--,36,27,--,--,2016-12-02
Via Sacco Pescara (PE),Accettabile,28,--,40,--,--,36,27,--,--,2016-12-01
Via Sacco Pescara (PE),Accettabile,28,--,40,--,--,36,27,--,--,2016-11-30
Via Sacco Pescara (PE),Accettabile,28,--,40,--,--,36,27,--,--,2016-11-29
Via Sacco Pescara (PE),Accettabile,28,--,40,--,--,36,27,--,--,2016-11-28
Via Sacco Pescara (PE),Accettabile,28,--,40,--,--,36,27,--,--,2016-11-27
Via Sacco Pescara (PE),Accettabile,28,--,40,--,--,36,27,--,--,2016-11-26
Via Sacco Pescara (PE),Accettabile,28,--,40,--,--,36,27,--,--,2016-11-25
Via Sacco Pescara (PE),Accettabile,28,--,40,--,--,36,27,--,--,2016-11-24
Via Sacco Pescara (PE),Accettabile,28,--,40,--,--,36,27,--,--,2016-11-23
Via Sacco Pescara (PE),Accettabile,28,--,40,--,--,36,27,--,--,2016-11-22
Via Sacco Pescara (PE),Accettabile,28,--,40,--,--,36,27,--,--,2016-11-21
Via Sacco Pescara (PE),Accettabile,28,--,40,--,--,36,27,--,--,2016-11-20
Via Sacco Pescara (PE),Accettabile,28,--,40,--,--,36,27,--,--,2016-11-19
Via Sacco Pescara (PE),Accettabile,28,--,40,--,--,36,27,--,--,2016-11-18
Via Sacco Pescara (PE),Accettabile,28,--,40,--,--,36,27,--,--,2016-11-17
Via Sacco Pescara (PE),Accettabile,28,--,40,--,--,36,27,--,--,2016-11-16
Via Sacco Pescara (PE),Accettabile,28,--,40,--,--,36,27,--,--,2016-11-15
Via Sacco Pescara (PE),Accettabile,28,--,40,--,--,36,27,--,--,2016-11-14
Via Sacco Pescara (PE),Accettabile,28,--,40,--,--,36,27,--,--,2016-11-13
Via Sacco Pescara (PE),Accettabile,28,--,40,--,--,36,27,--,--,2016-11-12
Via Sacco Pescara (PE),Accettabile,28,--,40,--,--,36,27,--,--,2016-11-11
Via Sacco Pescara (PE),Accettabile,28,--,40,--,--,36,27,--,--,2016-11-10
Via Sacco Pescara (PE),Accettabile,28,--,40,--,--,36,27,--,--,2016-11-09
Via Sacco Pescara (PE),Accettabile,28,--,40,--,--,36,27,--,--,2016-11-08
Via Sacco Pescara (PE),Accettabile,28,--,40,--,--,36,27,--,--,2016-11-07
Via Sacco Pescara (PE),Accettabile,28,--,40,--,--,36,27,--,--,2016-11-06
Via Sacco Pescara (PE),Accettabile,28,--,40,--,--,36,27,--,--,2016-11-05
Via Sacco Pescara (PE),Accettabile,28,--,40,--,--,36,27,--,--,2016-11-04
Via Sacco Pescara (PE),Accettabile,28,--,40,--,--,36,27,--,--,2016-11-03
Via Sacco Pescara (PE),Accettabile,28,--,40,--,--,36,27,--,--,2016-11-02
Via Sacco Pescara (PE),Accettabile,28,--,40,--,--,36,27,--,--,2016-11-01
Via Sacco Pescara (PE),Accettabile,28,--,40,--,--,36,27,--,--,2016-10-31
Via Sacco Pescara (PE),Accettabile,28,--,40,--,--,36,27,--,--,2016-10-30
Via Sacco Pescara (PE),Accettabile,28,--,40,--,--,36,27,--,--,2016-10-29
Via Sacco Pescara (PE),Accettabile,28,--,40,--,--,36,27,--,--,2016-10-28
Via Sacco Pescara (PE),Accettabile,28,--,40,--,--,36,27,--,--,2016-10-27
Via Sacco Pescara (PE),Accettabile,28,--,40,--,--,36,27,--,--,2016-10-26
Via Sacco Pescara (PE),Accettabile,28,--,40,--,--,36,27,--,--,2016-10-25
Via Sacco Pescara (PE),Accettabile,28,--,40,--,--,36,27,--,--,2016-10-24
Via Sacco Pescara (PE),Accettabile,28,--,40,--,--,36,27,--,--,2016-10-23
Via Sacco Pescara (PE),Accettabile,28,--,40,--,--,36,27,--,--,2016-10-22
Via Sacco Pescara (PE),Accettabile,28,--,40,--,--,36,27,--,--,2016-10-21
Via Sacco Pescara (PE),Accettabile,28,--,40,--,--,36,27,--,--,2016-10-20
Via Sacco Pescara (PE),Accettabile,28,--,40,--,--,36,27,--,--,2016-10-19
Via Sacco Pescara (PE),Accettabile,28,--,40,--,--,36,27,--,--,2016-10-18
Via Sacco Pescara (PE),Accettabile,28,--,40,--,--,36,27,--,--,2016-10-17
Via Sacco Pescara (PE),Accettabile,28,--,40,--,--,36,27,--,--,2016-10-16
Via Sacco Pescara (PE),Accettabile,28,--,40,--,--,36,27,--,--,2016-10-15
Via Sacco Pescara (PE),Accettabile,28,--,40,--,--,36,27,--,--,2016-10-14
Via Sacco Pescara (PE),Accettabile,28,--,40,--,--,36,27,--,--,2016-10-13
Via Sacco Pescara (PE),Accettabile,28,--,40,--,--,36,27,--,--,2016-10-12
Via Sacco Pescara (PE),Accettabile,28,--,40,--,--,36,27,--,--,2016-10-11
Via Sacco Pescara (PE),Accettabile,28,--,40,--,--,36,27,--,--,2016-10-10
Via Sacco Pescara (PE),Accettabile,28,--,40,--,--,36,27,--,--,2016-10-09
Via Sacco Pescara (PE),Accettabile,28,--,40,--,--,36,27,--,--,2016-10-08
Via Sacco Pescara (PE),Accettabile,28,--,40,--,--,36,27,--,--,2016-10-07
Via Sacco Pescara (PE),Accettabile,28,--,40,--,--,36,27,--,--,2016-10-06
Via Sacco Pescara (PE),Accettabile,28,--,40,--,--,36,27,--,--,2016-10-05
Via Sacco Pescara (PE),Accettabile,28,--,40,--,--,36,27,--,--,2016-10-04
Via Sacco Pescara (PE),Accettabile,28,--,40,--,--,36,27,--,--,2016-10-03
Via Sacco Pescara (PE),Accettabile,28,--,40,--,--,36,27,--,--,2016-10-02
Via Sacco Pescara (PE),Accettabile,28,--,40,--,--,36,27,--,--,2016-10-01
Via Sacco Pescara (PE),Accettabile,28,--,40,--,--,36,27,--,--,2016-09-30
Via Sacco Pescara (PE),Accettabile,28,--,40,--,--,36,27,--,--,2016-09-29
Via Sacco Pescara (PE),Accettabile,28,--,40,--,--,36,27,--,--,2016-09-28
Via Sacco Pescara (PE),Accettabile,28,--,40,--,--,36,27,--,--,2016-09-27
Via Sacco Pescara (PE),Accettabile,28,--,40,--,--,36,27,--,--,2016-09-26
Via Sacco Pescara (PE),Accettabile,28,--,40,--,--,36,27,--,--,2016-09-25
Via Sacco Pescara (PE),Accettabile,28,--,40,--,--,36,27,--,--,2016-09-24
Via Sacco Pescara (PE),Accettabile,28,--,40,--,--,36,27,--,--,2016-09-23
Via Sacco Pescara (PE),Accettabile,28,--,40,--,--,36,27,--,--,2016-09-22
Via Sacco Pescara (PE),Accettabile,28,--,40,--,--,36,27,--,--,2016-09-21
Via Sacco Pescara (PE),Accettabile,28,--,40,--,--,36,27,--,--,2016-09-20
Via Sacco Pescara (PE),Accettabile,28,--,40,--,--,36,27,--,--,2016-09-19
Via Sacco Pescara (PE),Accettabile,28,--,40,--,--,36,27,--,--,2016-09-18
Via Sacco Pescara (PE),Accettabile,28,--,40,--,--,36,27,--,--,2016-09-17
Via Sacco Pescara (PE),Accettabile,28,--,40,--,--,36,27,--,--,2016-09-16
Via Sacco Pescara (PE),Accettabile,28,--,40,--,--,36,27,--,--,2016-09-15
Via Sacco Pescara (PE),Accettabile,28,--,40,--,--,36,27,--,--,2016-09-14
Via Sacco Pescara (PE),Accettabile,28,--,40,--,--,36,27,--,--,2016-09-13
Via Sacco Pescara (PE),Accettabile,28,--,40,--,--,36,27,--,--,2016-09-12
Via Sacco Pescara (PE),Accettabile,28,--,40,--,--,36,27,--,--,2016-09-11
Via Sacco Pescara (PE),Accettabile,28,--,40,--,--,36,27,--,--,2016-09-10
Via Sacco Pescara (PE),Accettabile,28,--,40,--,--,36,27,--,--,2016-09-09
Via Sacco Pescara (PE),Accettabile,28,--,40,--,--,36,27,--,--,2016-09-08
Via Sacco Pescara (PE),Accettabile,28,--,40,--,--,36,27,--,--,2016-09-07
Via Sacco Pescara (PE),Accettabile,28,--,40,--,--,36,27,--,--,2016-09-06
Via Sacco Pescara (PE),Accettabile,28,--,40,--,--,36,27,--,--,2016-09-05
Via Sacco Pescara (PE),Accettabile,28,--,40,--,--,36,27,--,--,2016-09-04
Via Sacco Pescara (PE),Accettabile,28,--,40,--,--,36,27,--,--,2016-09-03
Via Sacco Pescara (PE),Accettabile,28,--,40,--,--,36,27,--,--,2016-09-02
Via Sacco Pescara (PE),Accettabile,28,--,40,--,--,36,27,--,--,2016-09-01
Via Sacco Pescara (PE),Accettabile,28,--,40,--,--,36,27,--,--,2016-08-31
Via Sacco Pescara (PE),Accettabile,28,--,40,--,--,36,27,--,--,2016-08-30
Via Sacco Pescara (PE),Accettabile,28,--,40,--,--,36,27,--,--,2016-08-29
Via Sacco Pescara (PE),Accettabile,28,--,40,--,--,36,27,--,--,2016-08-28
Via Sacco Pescara (PE),Accettabile,28,--,40,--,--,36,27,--,--,2016-08-27
Via Sacco Pescara (PE),Accettabile,28,--,40,--,--,36,27,--,--,2016-08-26
Via Sacco Pescara (PE),Accettabile,28,--,40,--,--,36,27,--,--,2016-08-25
Via Sacco Pescara (PE),Accettabile,28,--,40,--,--,36,27,--,--,2016-08-24
Via Sacco Pescara (PE),Accettabile,28,--,40,--,--,36,27,--,--,2016-08-23
Via Sacco Pescara (PE),Accettabile,28,--,40,--,--,36,27,--,--,2016-08-22
Via Sacco Pescara (PE),Accettabile,28,--,40,--,--,36,27,--,--,2016-08-21
Via Sacco Pescara (PE),Accettabile,28,--,40,--,--,36,27,--,--,2016-08-20
Via Sacco Pescara (PE),Accettabile,28,--,40,--,--,36,27,--,--,2016-08-19
Via Sacco Pescara (PE),Accettabile,28,--,40,--,--,36,27,--,--,2016-08-18
Via Sacco Pescara (PE),Accettabile,28,--,40,--,--,36,27,--,--,2016-08-17
Via Sacco Pescara (PE),Accettabile,28,--,40,--,--,36,27,--,--,2016-08-16
Via Sacco Pescara (PE),Accettabile,28,--,40,--,--,36,27,--,--,2016-08-15
Via Sacco Pescara (PE),Accettabile,28,--,40,--,--,36,27,--,--,2016-08-14
Via Sacco Pescara (PE),Accettabile,28,--,40,--,--,36,27,--,--,2016-08-13
Via Sacco Pescara (PE),Accettabile,28,--,40,--,--,36,27,--,--,2016-08-12
Via Sacco Pescara (PE),Accettabile,28,--,40,--,--,36,27,--,--,2016-08-11
Via Sacco Pescara (PE),Accettabile,28,--,40,--,--,36,27,--,--,2016-08-10
Via Sacco Pescara (PE),Accettabile,28,--,40,--,--,36,27,--,--,2016-08-09
Via Sacco Pescara (PE),Accettabile,28,--,40,--,--,36,27,--,--,2016-08-08
Via Sacco Pescara (PE),Accettabile,28,--,40,--,--,36,27,--,--,2016-08-07
Via Sacco Pescara (PE),Accettabile,28,--,40,--,--,36,27,--,--,2016-08-06
Via Sacco Pescara (PE),Accettabile,28,--,40,--,--,36,27,--,--,2016-08-05
Via Sacco Pescara (PE),Accettabile,28,--,40,--,--,36,27,--,--,2016-08-04
Via Sacco Pescara (PE),Accettabile,28,--,40,--,--,36,27,--,--,2016-08-03
Via Sacco Pescara (PE),Accettabile,28,--,40,--,--,36,27,--,--,2016-08-02
Via Sacco Pescara (PE),Accettabile,28,--,40,--,--,36,27,--,--,2016-08-01
Via Sacco Pescara (PE),Accettabile,28,--,40,--,--,36,27,--,--,2016-07-31
Via Sacco Pescara (PE),Accettabile,28,--,40,--,--,36,27,--,--,2016-07-30
Via Sacco Pescara (PE),Accettabile,28,--,40,--,--,36,27,--,--,2016-07-29
Via Sacco Pescara (PE),Accettabile,28,--,40,--,--,36,27,--,--,2016-07-28
Via Sacco Pescara (PE),Accettabile,28,--,40,--,--,36,27,--,--,2016-07-27
Via Sacco Pescara (PE),Accettabile,28,--,40,--,--,36,27,--,--,2016-07-26
Via Sacco Pescara (PE),Accettabile,28,--,40,--,--,36,27,--,--,2016-07-25
Via Sacco Pescara (PE),Accettabile,28,--,40,--,--,36,27,--,--,2016-07-24
Via Sacco Pescara (PE),Accettabile,28,--,40,--,--,36,27,--,--,2016-07-23
Via Sacco Pescara (PE),Accettabile,28,--,40,--,--,36,27,--,--,2016-07-22
Via Sacco Pescara (PE),Accettabile,28,--,40,--,--,36,27,--,--,2016-07-21
Via Sacco Pescara (PE),Accettabile,28,--,40,--,--,36,27,--,--,2016-07-20
Via Sacco Pescara (PE),Accettabile,28,--,40,--,--,36,27,--,--,2016-07-19
Via Sacco Pescara (PE),Accettabile,28,--,40,--,--,36,27,--,--,2016-07-18
Via Sacco Pescara (PE),Accettabile,28,--,40,--,--,36,27,--,--,2016-07-17
Via Sacco Pescara (PE),Accettabile,28,--,40,--,--,36,27,--,--,2016-07-16
Via Sacco Pescara (PE),Accettabile,28,--,40,--,--,36,27,--,--,2016-07-15
Via Sacco Pescara (PE),Accettabile,28,--,40,--,--,36,27,--,--,2016-07-14
Via Sacco Pescara (PE),Accettabile,28,--,40,--,--,36,27,--,--,2016-07-13
Via Sacco Pescara (PE),Accettabile,28,--,40,--,--,36,27,--,--,2016-07-12
Via Sacco Pescara (PE),Accettabile,28,--,40,--,--,36,27,--,--,2016-07-11
Via Sacco Pescara (PE),Accettabile,28,--,40,--,--,36,27,--,--,2016-07-10
Via Sacco Pescara (PE),Accettabile,28,--,40,--,--,36,27,--,--,2016-07-09
Via Sacco Pescara (PE),Accettabile,28,--,40,--,--,36,27,--,--,2016-07-08
Via Sacco Pescara (PE),Accettabile,28,--,40,--,--,36,27,--,--,2016-07-07
Via Sacco Pescara (PE),Accettabile,28,--,40,--,--,36,27,--,--,2016-07-06
Via Sacco Pescara (PE),Accettabile,28,--,40,--,--,36,27,--,--,2016-07-05
Via Sacco Pescara (PE),Accettabile,28,--,40,--,--,36,27,--,--,2016-07-04
Via Sacco Pescara (PE),Accettabile,28,--,40,--,--,36,27,--,--,2016-07-03
Via Sacco Pescara (PE),Accettabile,28,--,40,--,--,36,27,--,--,2016-07-02
Via Sacco Pescara (PE),Accettabile,28,--,40,--,--,36,27,--,--,2016-07-01
Via Sacco Pescara (PE),Accettabile,28,--,40,--,--,36,27,--,--,2016-06-30
Via Sacco Pescara (PE),Accettabile,28,--,40,--,--,36,27,--,--,2016-06-29
Via Sacco Pescara (PE),Accettabile,28,--,40,--,--,36,27,--,--,2016-06-28
Via Sacco Pescara (PE),Accettabile,28,--,40,--,--,36,27,--,--,2016-06-27
Via Sacco Pescara (PE),Accettabile,28,--,40,--,--,36,27,--,--,2016-06-26
Via Sacco Pescara (PE),Accettabile,28,--,40,--,--,36,27,--,--,2016-06-25
Via Sacco Pescara (PE),Accettabile,28,--,40,--,--,36,27,--,--,2016-06-24
Via Sacco Pescara (PE),Accettabile,28,--,40,--,--,36,27,--,--,2016-06-23
Via Sacco Pescara (PE),Accettabile,28,--,40,--,--,36,27,--,--,2016-06-22
Via Sacco Pescara (PE),Accettabile,28,--,40,--,--,36,27,--,--,2016-06-21
Via Sacco Pescara (PE),Accettabile,28,--,40,--,--,36,27,--,--,2016-06-20
Via Sacco Pescara (PE),Accettabile,28,--,40,--,--,36,27,--,--,2016-06-19
Via Sacco Pescara (PE),Accettabile,28,--,40,--,--,36,27,--,--,2016-06-18
Via Sacco Pescara (PE),Accettabile,28,--,40,--,--,36,27,--,--,2016-06-17
Via Sacco Pescara (PE),Accettabile,28,--,40,--,--,36,27,--,--,2016-06-16
Via Sacco Pescara (PE),Accettabile,28,--,40,--,--,36,27,--,--,2016-06-15
Via Sacco Pescara (PE),Accettabile,28,--,40,--,--,36,27,--,--,2016-06-14
Via Sacco Pescara (PE),Accettabile,28,--,40,--,--,36,27,--,--,2016-06-13
Via Sacco Pescara (PE),Accettabile,28,--,40,--,--,36,27,--,--,2016-06-12
Via Sacco Pescara (PE),Accettabile,28,--,40,--,--,36,27,--,--,2016-06-11
Via Sacco Pescara (PE),Accettabile,28,--,40,--,--,36,27,--,--,2016-06-10
Via Sacco Pescara (PE),Accettabile,28,--,40,--,--,36,27,--,--,2016-06-09
Via Sacco Pescara (PE),Accettabile,28,--,40,--,--,36,27,--,--,2016-06-08
Via Sacco Pescara (PE),Accettabile,28,--,40,--,--,36,27,--,--,2016-06-07
Via Sacco Pescara (PE),Accettabile,28,--,40,--,--,36,27,--,--,2016-06-06
Via Sacco Pescara (PE),Accettabile,28,--,40,--,--,36,27,--,--,2016-06-05
Via Sacco Pescara (PE),Accettabile,28,--,40,--,--,36,27,--,--,2016-06-04
Via Sacco Pescara (PE),Accettabile,28,--,40,--,--,36,27,--,--,2016-06-03
Via Sacco Pescara (PE),Accettabile,28,--,40,--,--,36,27,--,--,2016-06-02
Via Sacco Pescara (PE),Accettabile,28,--,40,--,--,36,27,--,--,2016-06-01
Via Sacco Pescara (PE),Accettabile,28,--,40,--,--,36,27,--,--,2016-05-31
Via Sacco Pescara (PE),Accettabile,28,--,40,--,--,36,27,--,--,2016-05-30
Via Sacco Pescara (PE),Accettabile,28,--,40,--,--,36,27,--,--,2016-05-29
Via Sacco Pescara (PE),Accettabile,28,--,40,--,--,36,27,--,--,2016-05-28
Via Sacco Pescara (PE),Accettabile,28,--,40,--,--,36,27,--,--,2016-05-27
Via Sacco Pescara (PE),Accettabile,28,--,40,--,--,36,27,--,--,2016-05-26
Via Sacco Pescara (PE),Accettabile,28,--,40,--,--,36,27,--,--,2016-05-25
Via Sacco Pescara (PE),Accettabile,28,--,40,--,--,36,27,--,--,2016-05-24
Via Sacco Pescara (PE),Accettabile,28,--,40,--,--,36,27,--,--,2016-05-23
Via Sacco Pescara (PE),Accettabile,28,--,40,--,--,36,27,--,--,2016-05-22
Via Sacco Pescara (PE),Accettabile,28,--,40,--,--,36,27,--,--,2016-05-21
Via Sacco Pescara (PE),Accettabile,28,--,40,--,--,36,27,--,--,2016-05-20
Via Sacco Pescara (PE),Accettabile,28,--,40,--,--,36,27,--,--,2016-05-19
Via Sacco Pescara (PE),Accettabile,28,--,40,--,--,36,27,--,--,2016-05-18
Via Sacco Pescara (PE),Accettabile,28,--,40,--,--,36,27,--,--,2016-05-17
Via Sacco Pescara (PE),Accettabile,28,--,40,--,--,36,27,--,--,2016-05-16
Via Sacco Pescara (PE),Accettabile,28,--,40,--,--,36,27,--,--,2016-05-15
Via Sacco Pescara (PE),Accettabile,28,--,40,--,--,36,27,--,--,2016-05-14
Via Sacco Pescara (PE),Accettabile,28,--,40,--,--,36,27,--,--,2016-05-13
Via Sacco Pescara (PE),Accettabile,28,--,40,--,--,36,27,--,--,2016-05-12
Via Sacco Pescara (PE),Accettabile,28,--,40,--,--,36,27,--,--,2016-05-11
Via Sacco Pescara (PE),Accettabile,28,--,40,--,--,36,27,--,--,2016-05-10
Via Sacco Pescara (PE),Accettabile,28,--,40,--,--,36,27,--,--,2016-05-09
Via Sacco Pescara (PE),Accettabile,28,--,40,--,--,36,27,--,--,2016-05-08
Via Sacco Pescara (PE),Accettabile,28,--,40,--,--,36,27,--,--,2016-05-07
Via Sacco Pescara (PE),Accettabile,28,--,40,--,--,36,27,--,--,2016-05-06
Via Sacco Pescara (PE),Accettabile,28,--,40,--,--,36,27,--,--,2016-05-05
Via Sacco Pescara (PE),Accettabile,28,--,40,--,--,36,27,--,--,2016-05-04
Via Sacco Pescara (PE),Accettabile,28,--,40,--,--,36,27,--,--,2016-05-03
Via Sacco Pescara (PE),Accettabile,28,--,40,--,--,36,27,--,--,2016-05-02
Via Sacco Pescara (PE),Accettabile,28,--,40,--,--,36,27,--,--,2016-05-01
Via Sacco Pescara (PE),Accettabile,28,--,40,--,--,36,27,--,--,2016-04-30
Via Sacco Pescara (PE),Accettabile,28,--,40,--,--,36,27,--,--,2016-04-29
Via Sacco Pescara (PE),Accettabile,28,--,40,--,--,36,27,--,--,2016-04-28
Via Sacco Pescara (PE),Accettabile,28,--,40,--,--,36,27,--,--,2016-04-27
Via Sacco Pescara (PE),Mediocre,16,--,41,--,--,125,113,--,--,2024-06-17
Via Sacco Pescara (PE),Mediocre,11,--,31,--,--,124,118,--,--,2024-06-16
Via Sacco Pescara (PE),Accettabile,10,--,41,--,--,110,107,--,--,2024-06-15
Via Sacco Pescara (PE),Accettabile,n.d.,--,27,--,--,94,91,--,--,2024-06-14
Via Sacco Pescara (PE),Accettabile,n.d.,--,24,--,--,105,102,--,--,2024-06-13
Via Sacco Pescara (PE),Accettabile,25,--,19,--,--,106,101,--,--,2024-06-12
Via Sacco Pescara (PE),Accettabile,25,--,23,--,--,111,105,--,--,2024-06-11
Via Sacco Pescara (PE),Accettabile,22,--,36,--,--,114,93,--,--,2024-06-10
Via Sacco Pescara (PE),Mediocre,16,--,43,--,--,128,122,--,--,2024-06-09
Via Sacco Pescara (PE),Mediocre,15,--,38,--,--,122,118,--,--,2024-06-08
Via Sacco Pescara (PE),Mediocre,12,--,33,--,--,121,117,--,--,2024-06-07
Via Sacco Pescara (PE),Accettabile,13,--,36,--,--,117,114,--,--,2024-06-06
Via Sacco Pescara (PE),Mediocre,10,--,31,--,--,127,117,--,--,2024-06-05
Via Sacco Pescara (PE),Mediocre,10,--,27,--,--,123,117,--,--,2024-06-04
Via Sacco Pescara (PE),Accettabile,11,--,31,--,--,102,86,--,--,2024-06-03
Via Sacco Pescara (PE),Accettabile,17,--,18,--,--,119,114,--,--,2024-06-02
Via Sacco Pescara (PE),Accettabile,21,--,14,--,--,108,106,--,--,2024-06-01
Via Sacco Pescara (PE),Accettabile,15,--,21,--,--,108,99,--,--,2024-05-31
Via Sacco Pescara (PE),Accettabile,10,--,26,--,--,114,109,--,--,2024-05-30
Via Sacco Pescara (PE),Accettabile,11,--,22,--,--,111,101,--,--,2024-05-29
Via Sacco Pescara (PE),Accettabile,n.d.,--,29,--,--,115,114,--,--,2024-05-28
Via Sacco Pescara (PE),Mediocre,n.d.,--,25,--,--,127,124,--,--,2024-05-27
Via Sacco Pescara (PE),Accettabile,13,--,37,--,--,114,109,--,--,2024-05-26
Via Sacco Pescara (PE),Accettabile,9,--,33,--,--,119,113,--,--,2024-05-25
Via Sacco Pescara (PE),Accettabile,13,--,35,--,--,109,106,--,--,2024-05-24
Via Sacco Pescara (PE),Accettabile,11,--,29,--,--,110,107,--,--,2024-05-23
Via Sacco Pescara (PE),Accettabile,24,--,34,--,--,103,97,--,--,2024-05-22
Via Sacco Pescara (PE),Accettabile,30,--,21,--,--,102,95,--,--,2024-05-21
Via Sacco Pescara (PE),Accettabile,23,--,36,--,--,93,83,--,--,2024-05-20
Via Sacco Pescara (PE),Accettabile,15,--,49,--,--,95,90,--,--,2024-05-19
Via Sacco Pescara (PE),Accettabile,12,--,46,--,--,111,109,--,--,2024-05-18
Via Sacco Pescara (PE),Accettabile,28,--,26,--,--,100,95,--,--,2024-05-17
Via Sacco Pescara (PE),Accettabile,22,--,32,--,--,109,102,--,--,2024-05-16
Via Sacco Pescara (PE),Mediocre,16,--,38,--,--,125,118,--,--,2024-05-15
Via Sacco Pescara (PE),Accettabile,17,--,42,--,--,120,118,--,--,2024-05-14
Via Sacco Pescara (PE),Mediocre,47,--,51,--,--,147,139,--,--,2024-05-13
Via Sacco Pescara (PE),Mediocre,19,--,37,--,--,129,122,--,--,2024-05-12
